LED #,LED PWM (%),LED current (%),Duration (s)
3,100,100.0,0
2,100,100.0,0
1,100,100.0,0
3,100,44.853365384615394,0
2,100,39.32044699486559,0
1,100,47.62418432710729,0
3,100,22.56883828800338,0
2,100,18.73108157991879,0
1,100,23.757645259938847,0
3,100,12.303435114503815,0
2,100,9.96620590230665,0
1,100,12.450265066964288,0
3,100,7.026270604395605,0
2,100,6.2095061188811185,0
1,100,7.572932111085766,0
3,100,4.38877688172043,0
2,100,4.618199190647482,0
1,100,4.3584935698310145,0
3,100,3.7297623005319154,0
2,100,3.4622907366071427,0
1,100,3.2945226033528647,0
3,100,3.1929882812499994,0
2,100,3.2592180524553567,0
1,100,2.988446575662364,0
